epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.874,2.14835,7.23831,0.51786,2.18964,1.87095,0.86839,0.64533,0.67523,0.31579,0.69427,0.4848,0.42212,0.17301,1.8139,4.11194,0.11845,1.3942,1.68045,0.000416404,0.000416404,0.000416404
2,332.977,1.83259,5.11186,0.41979,1.42776,1.57431,0.85682,0.63567,0.72426,0.40419,0.77953,0.55378,0.58758,0.30488,1.5857,3.3958,0.09626,1.19712,1.5621,0.000822762,0.000822762,0.000822762
3,482.257,1.7629,4.63332,0.4055,1.32837,1.53063,0.92795,0.67337,0.75464,0.41402,0.87071,0.6154,0.63284,0.3593,1.55443,3.23105,0.10187,1.09386,1.5535,0.00121881,0.00121881,0.00121881
4,632.303,1.71677,4.31357,0.35133,1.25985,1.50088,0.72212,0.74195,0.77046,0.43181,0.63784,0.62205,0.64547,0.37362,1.50263,2.99852,0.07915,1.01466,1.52399,0.00120359,0.00120359,0.00120359
5,781.882,1.66675,4.1477,0.29398,1.18183,1.4651,0.92786,0.70198,0.77084,0.4412,0.89067,0.63719,0.67569,0.40098,1.50005,3.01675,0.05755,0.95797,1.50806,0.00118812,0.00118812,0.00118812
6,931.652,1.6313,3.99053,0.26225,1.14224,1.45053,0.70323,0.6876,0.76731,0.43865,0.64051,0.63171,0.66554,0.40052,1.48291,2.89558,0.04502,0.96627,1.50531,0.00117266,0.00117266,0.00117266
7,1080.84,1.61422,3.8908,0.24588,1.1193,1.43449,0.71659,0.77083,0.77505,0.44931,0.66574,0.68277,0.67566,0.39281,1.46619,2.95738,0.0412,0.90799,1.49527,0.00115719,0.00115719,0.00115719
8,1231.42,1.58651,3.81123,0.22786,1.08746,1.41458,0.69533,0.79251,0.77764,0.46127,0.71035,0.66242,0.68132,0.42122,1.41665,2.79932,0.04027,0.88124,1.45532,0.00114172,0.00114172,0.00114172
9,1382.83,1.57154,3.73846,0.21608,1.07471,1.40369,0.95073,0.69543,0.7724,0.45057,0.90857,0.64372,0.67364,0.41264,1.46725,2.81514,0.03581,0.91146,1.50606,0.00112625,0.00112625,0.00112625
10,1534.89,1.53919,3.64028,0.20389,1.04998,1.38878,0.93682,0.71055,0.77672,0.45387,0.89134,0.66348,0.6932,0.42179,1.42581,2.76558,0.03072,0.91186,1.46265,0.00111078,0.00111078,0.00111078
11,1685.59,1.53171,3.60299,0.19358,1.03225,1.38438,0.74469,0.7657,0.78326,0.4799,0.69174,0.70068,0.70388,0.43755,1.38319,2.68817,0.02947,0.84973,1.44561,0.00109531,0.00109531,0.00109531
12,1836.76,1.52228,3.53466,0.1842,1.01546,1.37704,0.76964,0.7791,0.79259,0.48382,0.705,0.71699,0.71097,0.4588,1.38333,2.62116,0.02987,0.84798,1.44018,0.00107984,0.00107984,0.00107984
13,1987.3,1.50496,3.46392,0.17532,1.00662,1.37323,0.72467,0.78865,0.79353,0.48338,0.78766,0.66908,0.69389,0.44034,1.37024,2.68388,0.02332,0.83675,1.4309,0.00106437,0.00106437,0.00106437
14,2136.91,1.49753,3.46639,0.17205,0.99207,1.3641,0.74183,0.7814,0.79154,0.47523,0.74368,0.70048,0.69984,0.44685,1.40174,2.69678,0.02471,0.8421,1.45226,0.00104891,0.00104891,0.00104891
15,2287.57,1.49031,3.40768,0.16863,0.98761,1.36132,0.75359,0.79469,0.78828,0.48899,0.70455,0.71016,0.69979,0.44288,1.36395,2.69203,0.03035,0.8045,1.42393,0.00103344,0.00103344,0.00103344
16,2436.79,1.48049,3.38474,0.16355,0.98305,1.35456,0.76253,0.79496,0.79421,0.48163,0.67271,0.72492,0.70533,0.44833,1.39088,2.64909,0.02602,0.82166,1.44746,0.00101797,0.00101797,0.00101797
17,2586.47,1.45992,3.32741,0.15769,0.95793,1.34366,0.77884,0.78538,0.80404,0.49096,0.71259,0.72098,0.71131,0.45966,1.37215,2.62918,0.02126,0.82711,1.42977,0.0010025,0.0010025,0.0010025
